bart_param,predictor,r,p,n,abs_r
alpha_plus,Drec_r,0.003003918349706072,0.9072436818250446,1507,0.003003918349706072
rho_0,CCTncards,0.0029551964796651767,0.9087717130315375,1506,0.0029551964796651767
alpha_plus,BIS1mot,-0.0027096135762314888,0.9162961618900142,1507,0.0027096135762314888
alpha_plus,BIS1ins,0.0026816570802394844,0.9171566548248157,1507,0.0026816570802394844
alpha_plus,PG,-0.0026767090105750788,0.9173089651195155,1507,0.0026767090105750788
rho_0,CAREaggr,-0.002645700503719693,0.9182635303635932,1507,0.002645700503719693
alpha_plus,edu,0.0025660517802184937,0.9209790340966778,1497,0.0025660517802184937
mean_pumps,edu,0.0025316453376016037,0.9220351742497804,1497,0.0025316453376016037
rho_0,Dgam_r,-0.0024505776306690654,0.9242728344327925,1507,0.0024505776306690654
alpha_plus,Dsoc,0.0024289635128701263,0.9249387680519487,1507,0.0024289635128701263
omega_0,CAREsex,0.0022173425171757803,0.931461541065065,1507,0.0022173425171757803
rho_0,MTr.1,-0.0021772550983230636,0.9327869986593924,1503,0.0021772550983230636
alpha_plus,MTr.3,0.001956169358142938,0.9395982539953667,1503,0.001956169358142938
alpha_plus,sibl_y,0.0018562252775625914,0.9427933533928111,1497,0.0018562252775625914
alpha_plus,sibl,0.001853800956498496,0.9428679402945254,1497,0.001853800956498496
rho_0,ses_fath,0.0018326848311968184,0.944545759248932,1443,0.0018326848311968184
omega_0,swrate,-0.0015829509287228743,0.9510736749891294,1505,0.0015829509287228743
mean_pumps,PG,0.0015207216540466613,0.9529635681808996,1507,0.0015207216540466613
alpha_minus,BIS2att,-0.0015029261777322906,0.9535133619537987,1507,0.0015029261777322906
rho_0,BMI,0.0014373971043145114,0.9564327793488642,1447,0.0014373971043145114
rho_0,OSrtOp,-0.0013755856858699165,0.9577032669715644,1489,0.0013755856858699165
rho_0,CCTratio,0.001353702712586533,0.9581383928565561,1506,0.001353702712586533
explosion_rate,ses_fath,-0.0013461135808896468,0.9592535565531626,1443,0.0013461135808896468
alpha_plus,OSrtOp,0.0012627439166880338,0.9611700840350622,1489,0.0012627439166880338
rho_0,PRI,-0.0012511707382245932,0.9612936275944989,1507,0.0012511707382245932
omega_0,dif.risk.fx.bound,0.0012296874334143675,0.9620462660573811,1500,0.0012296874334143675
alpha_plus,R_sh2,0.001134410935286216,0.9649032752056806,1507,0.001134410935286216
alpha_minus,ses,0.001127665139304946,0.9651118452145157,1507,0.001127665139304946
mean_pumps,ses,0.001035721219417415,0.9679548466556612,1507,0.001035721219417415
sigma,SSpcOp,-0.0009717820149999532,0.9701124792995363,1489,0.0009717820149999532
alpha_plus,Dinv_r,-0.0009412410875607659,0.9708766939931497,1507,0.0009412410875607659
sigma,famstat,-0.0009131002731661414,0.9718410528669088,1497,0.0009131002731661414
alpha_minus,SSrtLet,0.0008394860916690546,0.9741797590675534,1489,0.0008394860916690546
omega_0,sibl_y,0.0007539490034619401,0.9767475575145071,1497,0.0007539490034619401
explosion_rate,ses_moth,0.000744309571045487,0.977160220952442,1482,0.000744309571045487
rho_0,R,-0.0006996058735749109,0.9783510732185533,1507,0.0006996058735749109
omega_0,H_lot,0.0006878868447194336,0.9787136255577737,1507,0.0006878868447194336
alpha_minus,switches,-0.0006208367418060178,0.9808008124910907,1505,0.0006208367418060178
mean_pumps,switches,0.0006064909594401392,0.9812443688435678,1505,0.0006064909594401392
omega_0,ses,0.0005475406789850178,0.9830558438474841,1507,0.0005475406789850178
explosion_rate,edu,-0.0005153922315714043,0.9841036580446314,1497,0.0005153922315714043
rho_0,MTr,-0.0005110177244783488,0.984206961139756,1503,0.0005110177244783488
sigma,SSTM,0.0003313996426939156,0.9898261680799141,1483,0.0003313996426939156
rho_0,OSpcOp,0.0003091437810324517,0.9904901695859707,1489,0.0003091437810324517
rho_0,CAREsex,-0.00027046490830843567,0.9916297363731365,1507,0.00027046490830843567
omega_0,rt_decision_dfe,-2.0312034909179647e-05,0.9993713780248062,1507,2.0312034909179647e-05
