bart_param,predictor,r,p,n,abs_r
loss_aversion,household,0.015201479917779134,0.8818971249356139,98,0.015201479917779134
alpha_minus,DAST,0.015091736134583549,0.8815312016297664,100,0.015091736134583549
loss_aversion,NEO_C,0.01488733347652797,0.9547768118599101,17,0.01488733347652797
omega_0,BMI,0.014686060917357233,0.8870672644611883,96,0.014686060917357233
rho_0,ses_fath,0.014443277234070195,0.8877483128887131,98,0.014443277234070195
omega_0,ses_moth,0.013860171816903202,0.8911369433584886,100,0.013860171816903202
loss_aversion,SOEP,0.01362062306002859,0.8930072075416917,100,0.01362062306002859
rho_0,SSdis,-0.013444669262495127,0.8943813313405681,100,0.013444669262495127
rho_0,income,0.013306340056146284,0.8965334625226928,98,0.013306340056146284
rho_0,GABS,-0.012658874182695647,0.900521807627033,100,0.012658874182695647
omega_0,PRIw,-0.012635923388473788,0.9007012430558998,100,0.012635923388473788
beta,H,0.012112820010408807,0.9047923418768649,100,0.012112820010408807
beta,Dhea_b,0.011399393141880739,0.9103759194227871,100,0.011399393141880739
omega_0,Dinv,0.01139845406547017,0.9103832719616319,100,0.01139845406547017
loss_aversion,BIS2mot,0.010929229588335828,0.9140580174154637,100,0.010929229588335828
beta,Deth,-0.01072747449518259,0.9156386292960408,100,0.01072747449518259
alpha_minus,CV,-0.010614910131059885,0.9165206365356615,100,0.010614910131059885
omega_0,CAREaggr,0.01023678543406994,0.9194841981431442,100,0.01023678543406994
alpha_plus,CAREsex,-0.009800557113250775,0.9229045142387049,100,0.009800557113250775
rho_0,BIS1mot,0.009764972031395838,0.92318358739811,100,0.009764972031395838
loss_aversion,dif.risk.fx.bound,-0.009557690022913028,0.9251948029379733,99,0.009557690022913028
alpha_minus,CAREsex,-0.009444223202198603,0.9256994505706801,100,0.009444223202198603
alpha_plus,Dgam,0.009361714912682482,0.9263467415978276,100,0.009361714912682482
rho_0,CCTacards,-0.009047648161612826,0.9288110821774849,100,0.009047648161612826
