rt_mean,rt_sd,rt_cv,rt_median,rt_first_mean,rt_first_sd,rt_late_mean,rt_trend_mean,rt_trend_sd,rt_skew,partid,rt_post_explosion,rt_post_success,rt_explosion_effect
266.18,159.94960956501268,0.6009076924074411,221.5,307.58620689655174,409.6950520470308,414.29655172413794,4.623869974318288,6.3067505731385465,5.713208528146341,64049701,217.1818181818182,239.58823529411765,-22.406417112299465
403.55896007428044,334.081422622595,0.8278379510173751,248.0,431.41379310344826,272.45101011594465,731.8137931034482,12.089294828520716,11.89430043224927,2.8102232240450866,64051301,407.85714285714283,429.5238095238095,-21.666666666666686
255.73187840997662,139.49668396501548,0.5454802304364313,214.0,276.55172413793105,134.958636372446,316.90344827586205,0.6399810986840013,2.24145157111861,4.140122312443791,64051501,206.77777777777777,281.4736842105263,-74.69590643274853
319.1735015772871,366.0542879360115,1.146881824860302,248.0,271.41379310344826,98.5377635438975,512.3241379310344,11.236957729365361,12.595692327987049,11.566652722032755,64052901,283.375,250.0,33.375
278.1461352657005,170.57695260622447,0.6132637882718737,208.0,209.10344827586206,36.3729198505457,519.4137931034483,16.395492058311174,13.627390914910952,3.4977250481922386,64053701,221.5,207.58333333333334,13.916666666666657
258.1367924528302,285.3653949698797,1.1054812925283597,162.0,249.44827586206895,293.35051250455064,401.151724137931,7.6604057972851285,18.847554194874146,4.090054046768581,64055001,163.14285714285714,243.04761904761904,-79.9047619047619
260.8671586715867,156.88277074107114,0.6013895023810776,214.0,204.3448275862069,10.403168821181247,451.7448275862069,8.725400715015274,5.851795281718818,4.9747847523574675,64056701,203.66666666666666,203.63636363636363,0.030303030303031164
364.29016553067186,272.4200525562207,0.7478106145395901,242.0,364.82758620689657,260.07214767756636,612.1517241379311,18.075678246158656,49.18869469964861,2.820933121112728,64057101,210.125,398.45,-188.325
775.547770700637,916.016220889345,1.181121596238756,479.0,441.8965517241379,283.20838493670027,1346.4689655172415,101.6608479017345,80.89690431716492,3.663844264877563,64057201,523.3333333333334,385.16,138.17333333333335
247.69665809768637,231.51926527718422,0.9346886916248901,187.0,186.9655172413793,67.99770927106127,449.7655172413793,12.88602432718452,11.774451587962615,5.046004566222097,64057901,160.4,179.56521739130434,-19.16521739130434
364.0303951367781,416.29496095540856,1.1435719833202196,268.5,382.37931034482756,289.3537881976871,632.6896551724138,18.467228340467774,22.086147007057992,8.523625198399055,64058101,263.25,376.3333333333333,-113.08333333333331
471.907949790795,253.78059392538037,0.5377756277212234,370.5,349.37931034482756,215.96174849569422,639.2206896551725,29.83387530052951,18.663059750209985,1.7662800378734524,64058701,877.0,305.61538461538464,571.3846153846154
181.27659574468086,129.22806571137895,0.712877827281081,150.0,205.6206896551724,172.5635143026761,296.11724137931037,3.65561523897918,7.260040589595502,4.818901176300777,64059001,161.875,181.0,-19.125
208.32517263025738,119.92188177276326,0.5756475814164076,190.0,222.72413793103448,100.60057467160333,243.67586206896553,0.2923776523092418,1.0376196158636792,14.156730403715114,64060701,194.88235294117646,223.45454545454547,-28.572192513369004
242.6918103448276,155.90905281291882,0.6424157971848994,208.0,226.55172413793105,86.0960114446803,400.5241379310345,1.6158176086193967,2.121737268641651,8.431917594457776,64061701,193.75,229.8125,-36.0625
432.19507186858317,404.46776564509986,0.9358453901299589,258.0,278.44827586206895,138.32809229407093,773.648275862069,51.76187779614396,35.840474357296976,3.4413554865389058,64061901,214.0,273.2692307692308,-59.269230769230774
224.97081930415263,147.87005261165504,0.6572854784857228,192.0,200.58620689655172,77.07923251831434,349.2758620689655,4.5064516869271065,3.5515248445418517,6.725389049861408,64063501,186.57142857142858,186.28571428571428,0.285714285714306
250.63963963963963,203.36567524569728,0.8113867205446389,182.0,246.0,135.21783191933494,344.151724137931,4.448622142675375,4.3991982546715125,4.899855045573146,64063601,177.28571428571428,271.0952380952381,-93.8095238095238
