partid,rt_mean,rt_median,rt_first_mean,rt_slope_mean,rt_sd,rt_cv,log_rt_sd,rt_post_exp,rt_post_success,rt_post_loss_ratio
65018001,246.2549019607843,190.0,273.7241379310345,3.1207527573190523,158.96351698069824,0.6455242747046429,0.4266857690177603,252.0,206.5,1.2203389830508475
65018101,516.6395663956639,424.0,443.0689655172414,46.17764232026037,428.7594731382317,0.8299005748426748,0.5860109420688436,719.0,365.96153846153845,1.9646873357856016
65018201,198.93884120171674,185.0,175.3448275862069,3.7492138361693965,101.5428064343868,0.5104222273589404,0.24590653925957484,175.375,176.6,0.9930634201585504
65018301,356.6266233766234,288.0,357.55172413793105,12.626220361571656,234.45577164637123,0.6574264406467742,0.49700804163213197,286.14285714285717,271.95238095238096,1.0521800035020137
65018401,214.87782485875707,191.0,185.58620689655172,2.030241282641101,153.78268993275015,0.7156750122253619,0.29992029323007136,179.6,174.6153846153846,1.0285462555066078
65018501,216.1962134251291,202.0,242.6206896551724,8.77157230262825,134.62792885707958,0.6227117798420766,0.21952703549135907,332.5,196.38888888888889,1.693069306930693
65018601,270.0404312668464,233.0,243.86206896551724,8.913284287796703,156.55743122819175,0.5797555221406312,0.3251711670739007,228.75,250.45,0.913355959273308
65018701,272.2,217.0,305.2413793103448,5.762162619274894,223.95119557617906,0.8227450241593647,0.3986857763302951,232.55555555555554,275.57894736842104,0.8438799762329174
65018801,255.79071428571427,224.0,215.3793103448276,2.866159729681687,143.598884991905,0.5613920950684209,0.31857918208900604,221.57142857142858,197.78571428571428,1.1202600216684724
65018901,222.7956810631229,186.0,189.31034482758622,4.367878748782546,181.36721376035405,0.8140517486466389,0.3553274169014453,207.0,177.58823529411765,1.1656177542232526
65019001,226.97233201581028,216.0,222.24137931034483,2.223265017780142,91.4222667353857,0.40279035741245095,0.2445356353084849,212.57142857142858,227.66666666666666,0.9336958795231124
65019101,231.4209591474245,200.0,335.32142857142856,3.9378453750705327,174.82202181660722,0.7554286459647699,0.38663757970942014,228.42857142857142,206.3,1.1072640398864344
65019201,276.01934703748486,204.0,179.89655172413794,10.302361295528653,185.21233832162142,0.6710121602326253,0.46454351645608594,196.42857142857142,177.0,1.1097659402744149
65019301,204.69634703196348,187.0,188.55172413793105,1.0598348765153656,131.3620771528103,0.6417411891199896,0.26190713041097224,184.64285714285714,193.92857142857142,0.9521178637200737
65019401,222.96857923497268,184.0,290.42857142857144,1.4236288404992974,224.4975332945965,1.0068572624217718,0.39147030711800146,182.30769230769232,190.21428571428572,0.9584332303070568
65019501,228.64,186.0,188.58620689655172,3.792031538813595,309.3640368935551,1.3530617428864378,0.35483796970213893,173.28571428571428,168.28571428571428,1.029711375212224
65019601,231.83285024154588,208.0,253.79310344827587,3.957637129297488,93.23240963251881,0.402153575454817,0.2868133127807748,356.0,195.85,1.8177176410518254
65019701,384.33104500381387,218.0,282.44827586206895,14.756201258250996,410.19327580264627,1.0672915475734617,0.6321463617256085,312.875,249.55,1.2537567621719095
65019801,238.90250215703193,199.0,187.13793103448276,5.677633982937566,167.34489549717145,0.70047359900473,0.37756477948728756,190.88888888888889,185.57894736842104,1.0286128442679776
65019901,240.53145336225597,202.0,199.20689655172413,5.981498990106005,141.03021778880588,0.5863275501703523,0.33608071853292737,201.85714285714286,195.42857142857142,1.0328947368421053
65020001,196.8158362989324,153.0,171.06896551724137,4.443807616139629,149.548778263724,0.7598411849165574,0.4020683402663837,145.71428571428572,164.9047619047619,0.8836269130811436
65020101,226.36521739130436,144.0,241.79310344827587,5.60841262078021,237.37869202574035,1.0486535641886963,0.5491740320677596,242.22222222222223,167.21052631578948,1.4486063022418074
65020201,199.20545609548168,185.0,209.44827586206895,3.3471266378084987,107.14514175853279,0.5378624855896356,0.27004986162470124,189.0909090909091,199.2941176470588,0.9488032628528497
65020301,237.89928057553956,160.0,168.58620689655172,11.197914697023554,308.56361652522725,1.2970346769386292,0.517628272236481,196.0,154.95454545454547,1.2648870636550307
65020401,249.78222222222223,205.0,230.68965517241378,4.334426389023797,209.47074819796984,0.8386135183456382,0.3570525823496926,216.88888888888889,195.42105263157896,1.1098542657928598
65020501,247.55415162454872,221.0,235.10344827586206,0.8075310643316959,139.10477620970627,0.5619165556176111,0.29158194131312354,223.5625,217.33333333333334,1.0286618098159508
65020601,227.55309734513276,186.0,203.44827586206895,2.0291762242047,224.59213963665698,0.9869878382539226,0.37029382002285344,182.14285714285714,174.57142857142858,1.0433715220949262
65020701,226.94408602150537,184.0,228.06896551724137,6.181606571142585,167.84217847021353,0.7395750266623325,0.38091791336199327,184.66666666666666,177.31578947368422,1.0414564163451072
65020801,274.65595611285266,222.5,218.93103448275863,4.458190242511209,287.1607388572013,1.0455288970293095,0.3760126507285113,220.84615384615384,221.4,0.9974984365228267
65020901,292.5532381997805,233.0,218.27586206896552,9.96590315323457,167.1336620691627,0.5712931536756037,0.38510048654728796,196.0,211.4090909090909,0.9271124489357128
65021001,222.3002853067047,197.0,223.9655172413793,1.0426830141552654,208.4115397136059,0.9375225921373124,0.32042392559232624,209.27272727272728,216.05882352941177,0.9685914412296117
65021101,241.55454545454546,199.0,171.79310344827587,4.5315715214936185,196.89508705811244,0.8151164644308595,0.38916557842553173,197.75,150.5,1.313953488372093
65021201,240.86832204665163,200.0,214.48275862068965,3.2289165386510157,165.46215904858408,0.6869403068143481,0.3688924385551188,198.5,189.75,1.0461133069828723
