partid,mean_pumps,explosion_rate,omega_0,rho_0,alpha_minus,alpha_plus,sigma,COMPOSITE_approach,COMPOSITE_cognitive,COMPOSITE_externalizing,COMPOSITE_optimal
64094201,27.73333333333333,0.2,29.78401932193832,1.0160690715173384,0.1253844470646206,0.0178296595037106,4.191970398677209,-0.06180809025908496,0.8341712122876783,0.4552587745987004,0.044376104544779124
64096601,40.06666666666667,0.3666666666666666,89.4324830380888,0.3004910217683362,0.1780506880838679,0.1102595936082114,10.616690293054644,-0.4746188509946717,0.24929946248332763,-0.8837280613847527,0.06026216464906003
64098201,39.73333333333333,0.4333333333333333,59.49856957804696,0.4986963005529951,0.1135587973160603,0.0888967227360298,5.8284676837438765,-0.5815386045378532,0.04418466756671957,-0.3627747108515788,-0.005619053648983255
64099201,41.03333333333333,0.4,46.55618326136824,0.9460915794428184,0.2622458180040312,0.1609490193868507,16.52027552717922,-1.2492807015256366,0.6815734151351174,-0.5882294582209036,-0.4121209104299562
64100101,34.266666666666666,0.2,32.13260421562117,1.0728421081358104,0.1193527928750271,0.01,12.9166765895402,-0.3411210845202806,0.12943004794008522,0.2550326459452807,-0.3023142485758604
64100701,45.06666666666667,0.4,56.30447976376264,0.9169438803909252,0.1345118163462736,0.0940632060466223,3.9882403388799967,-0.4803544392172886,0.38953979781212655,-1.1408435640974588,-1.2555260877307401
64100901,40.43333333333333,0.3333333333333333,81.51984426591294,0.4727845679094974,0.1491270816869466,0.064645038233603,5.874987659572708,-0.5420534746998902,-0.8520843427021584,-0.6862242418621776,-0.1381275522966502
64101101,32.733333333333334,0.2666666666666666,33.17084171264013,1.056702545613351,0.0635959446607926,0.01,3.574121837383812,0.2808649323507829,0.3518683955412807,0.518718591312156,0.7266133240164389
64102101,36.03333333333333,0.3,125.34013774625758,0.4493432749115976,0.2196317763244105,0.0680077253525675,9.4048982927172,0.34839584257864253,-0.39538427498741563,-0.5020086366988343,0.34694312441504827
64102401,48.53333333333333,0.5333333333333333,67.99999999939762,0.7828203715599855,0.1172921524701198,0.1398960560393222,9.727428561046027,-0.27348702789554913,-0.5523285811992557,-0.5515338991374679,0.3013276436875796
64102801,44.6,0.4666666666666667,71.61727905753048,0.4996463814418497,0.1826962468052786,0.1908718396965119,19.706040187424183,-0.19525421329373455,-1.063046259042703,-1.2405697088186003,-0.1525017178838574
64103301,6.0344827586206895,0.0344827586206896,13.000000017768146,0.5369302157666028,0.2162715311946147,0.01,3.6499318788415223,-0.5008555379530719,-0.3081057496602865,-0.7064358134663942,-0.2702679427315002
64103801,49.56666666666667,0.4666666666666667,63.20158549497865,0.7339781856435704,0.1250491386750157,0.1069649775859807,13.031189112303029,0.6147166105338437,0.05856382888524101,0.5034129675942383,0.6045387693710154
64104501,34.1,0.3,33.82745855926935,1.016645201577543,0.2127870428633399,0.041076369261027,10.25205886381366,0.36808135143113746,-0.6963698077791663,0.7998059593675508,0.04973959463379688
64104601,33.9,0.3333333333333333,87.82067103849688,0.4745772302696698,0.1378540837052903,0.0666111630702687,6.123546241889905,-0.7215752557001964,-1.0967577058712341,0.2727567738868589,-0.6332208806826359
64105101,35.833333333333336,0.4,37.29044225759649,0.6521256129063855,0.1539777941489897,0.0994953682544948,12.75902812620155,-0.13951242041679793,0.43323132867386444,-0.4152818544148488,-0.4662914454754829
64109601,40.833333333333336,0.3666666666666666,63.2051853686752,0.3487081439446602,0.3008905884282217,0.1806581777712765,11.402492529996522,-0.4566644977944785,0.3310989076222227,-0.5352101205672697,-0.08842209709030194
64110701,58.56666666666667,0.8,99.25723209080562,1.022807532125727,0.0393190537867885,0.100885557144688,7.684610654324729,1.2055958202968227,-1.1024859682622874,0.6344635659788027,1.2735113618004987
64111001,27.966666666666665,0.2666666666666666,39.49630754240007,0.9256246821572168,0.1844000048250085,0.0698137361767972,4.255518152995975,0.20040672238644533,1.1052621168996566,-0.6438620789069736,0.2522909757401332
64111201,39.43333333333333,0.3666666666666666,109.15916431042253,0.3497950223768695,0.1916903951768815,0.1200762097108395,26.77950621994103,0.1934094988378134,-0.11312082164653274,0.7872519247087617,0.5989305720162891
64112901,51.3,0.5333333333333333,112.09082303635596,0.6742594129205558,0.0670348400433973,0.0755099185949094,13.00298448211588,0.8378563147972178,0.8850966191280459,0.5126227563646378,1.2206294041880514
64113001,42.766666666666666,0.4333333333333333,84.83892282315317,0.7243476146561241,0.0579968482265496,0.0335117620764029,10.330433119141958,-0.23830912393979223,1.1812578229686284,0.34941696517469384,0.37297001374739774
64114801,43.4,0.3333333333333333,78.9364998624874,0.662492014188238,0.0665277692330481,0.0369250618522235,7.898816455905125,-0.81368540436907,0.2889948039036443,-0.7048542817131378,0.1940860365929786
64115101,47.96666666666667,0.4333333333333333,84.42710431592305,1.0824174923646643,0.1511265570422289,0.0963776196193898,10.801327272838908,-0.2565628562068023,1.0523666755425087,-0.3528893022373046,0.4087959238698789
64115601,36.03333333333333,0.3333333333333333,78.8887109910503,0.6278680242352084,0.1199386518950469,0.0611852742431301,9.641500497393992,-0.40049354571040147,0.14184421741690784,-0.3325143048795775,-0.3296413761952547
64116101,20.466666666666665,0.1333333333333333,44.93147863897679,0.3662672607323905,0.0121765411597705,0.011207900081261,8.619279460304965,-0.11143245109357156,0.016814435959943187,-0.10805673888967739,-0.22051327450073216
64116201,52.73333333333333,0.6333333333333333,73.47079187867502,0.6029817345233,0.0733538658734495,0.1464613777609646,4.563473732252394,0.17703676703202692,0.47092056344892275,0.06831807381938075,0.5665019521593043
64116301,38.93333333333333,0.3666666666666666,47.582477010623904,1.0608475466682137,0.1959734435094945,0.0908748495635603,7.286014102485834,-0.22738666309435604,0.9241415452104456,0.28264218250113304,-0.4096371664952415
64116901,42.2,0.4333333333333333,39.3371955111832,0.9069992781194391,0.1645377710643759,0.1144008618658949,9.029149325289476,0.7457688307798175,-0.05125027265588278,0.5715588197108945,0.34021239815611576
64117601,33.0,0.2333333333333333,45.75033200383341,0.4833769331398105,0.2066287533887179,0.0721760396468492,3.877778905951757,-0.3750916655287436,1.0694525884315174,-0.9875231815217889,
64118001,21.366666666666667,0.2,50.69423386557275,0.9016364124471364,0.1825209975787843,0.0255491806452519,4.286865200071348,-0.7841697352881672,-0.6464272400029514,-0.8227358585785884,-1.2373991662338641
64118401,46.333333333333336,0.4,63.999999728997714,0.6846702393204543,0.1668808701296711,0.1185728959818886,8.042805759110557,0.2706514799205835,0.6695431527991331,-0.23658925712511042,-0.003674689784934503
64118601,36.03333333333333,0.3666666666666666,74.51626644619081,0.8159108589874364,0.1172304743837065,0.0426287751756118,12.538805782931805,-0.08687882151614801,0.6355885449572438,-0.14235476722230833,0.32780547343415933
64120001,37.766666666666666,0.3666666666666666,49.06807212646009,1.023094580992919,0.1213337960671267,0.0609144586985433,6.969018058278237,-0.43405954301138633,0.04116319763105634,-0.2102703272734573,0.3935939499170648
64120201,21.5,0.2,4.893178755915082,1.4115603854884784,0.2952322788907885,0.0408039361737873,4.613800454018965,-0.4335829764577837,0.03436520548936295,-0.7415613640964918,-0.5567937912762432
64120701,30.566666666666663,0.2,51.27737361365248,0.7069306382210487,0.2695453515765924,0.0652931526259342,6.49992599836063,-1.3735504045928608,-1.1191629762283937,0.06658671273951315,-1.2893333792672967
64121001,27.9,0.2666666666666666,17.20852445342423,0.8521452175661974,0.1095501418031623,0.0413989128439774,4.476822538580668,-0.028959899813592684,-0.47589415681172104,0.02505207208177586,0.43165935356228796
64121601,22.73333333333333,0.1666666666666666,23.81242713795887,1.1339033592641918,0.1567248921442653,0.0113619592802122,2.9136166152613425,-0.3264271869268338,0.47092056344892275,-0.4658042982329071,0.4609370315749646
64122901,24.5,0.2333333333333333,61.00615721146395,0.7663731068671013,0.1558417230671726,0.031427838793073,9.513023780033029,0.4012016594057399,-1.2236528196484107,-0.5524398110468498,-0.28385679295907484
64124501,35.46666666666667,0.3333333333333333,50.7394420003072,1.2015751856648675,0.1942191545239169,0.0686911299331061,5.634650139239774,0.4591247610648363,1.239847641793004,-0.6438620789069736,0.6741197301476766
64125001,39.3,0.3666666666666666,14.88674006272517,1.1668443404331352,0.1264977932047183,0.0684144780951312,8.640300501685973,0.638579493078528,0.11517932817758174,-0.24489313398612816,0.9247399569629636
64125601,27.6,0.2,11.64056154483679,1.088906804093642,0.0726037300081923,0.01,2.368733036566915,-1.0231828571490496,0.08959867991973942,-1.2925824149198724,-0.05189822179658972
64126601,42.66666666666666,0.4,10.83671300872414,1.3747467765123742,0.0795665833752517,0.0143101572706352,13.473297978216715,1.0341371551679692,-0.5591439710019229,0.4848006843716439,-0.06652510301290325
64126701,26.1,0.2333333333333333,41.127092201716735,0.905350806578114,0.1359014234091298,0.0293865169926397,4.427211717587417,-0.20320693589458547,-0.004047294231847648,-0.22092126864343953,-0.3228494963955514
64127001,41.7,0.4,84.43357776216968,0.6402959136331791,0.0615140559842148,0.0355130759508761,9.332888354496005,-0.9825736786893874,0.1957581820244755,-0.9859416497685325,-0.8085034590393613
64127201,48.06666666666667,0.5333333333333333,107.004158492181,0.3012506833099836,0.1328371988095646,0.1775315296549898,13.038668203948856,-0.10922370452925749,0.9175508432973809,0.11159767198388494,0.45644485832022486
64127301,46.36666666666667,0.4333333333333333,79.33796730172993,0.6534918789930937,0.0276655294798444,0.0235814113942613,6.092718795831243,-0.2823216856318972,0.8116683239126642,0.518718591312156,0.19902785115228255
64129001,42.3,0.3666666666666666,82.63764468300602,0.5382561393229655,0.0694382824907692,0.0602487139598598,7.056337460121786,-1.3787561335758896,-0.2943948137642264,-0.8984901379570414,-0.5016524083765426
64129201,45.0,0.4,50.27021228454668,1.3619290466081246,0.1745619389473893,0.0781093071496929,7.810320801439512,1.5570005457666858,0.09753832727059482,0.47717242735450044,0.413865184081068
64129701,23.566666666666663,0.2,36.947756821501855,0.4771082223643806,0.1146699526996378,0.0448432066930396,2.8472131342675504,-0.9261659551146735,-0.3996993971071385,0.01740398530928544,-0.4490792356038385
64130101,49.13333333333333,0.5,68.17634136924117,1.174019505668833,0.0454038455526408,0.0200536372600226,6.185509012145641,0.35162930501549716,0.7600505338621292,0.45181173594035007,0.862802310633617
64130201,34.3,0.3333333333333333,88.92694542400739,0.6625804555982103,0.1075840804331363,0.0440097361659181,13.633151953730312,0.30290067056923176,0.07363493228785342,0.20846943487593655,0.7666473975997118
64130901,22.4,0.1333333333333333,39.88301740616146,0.5404243326816202,0.3493389903471675,0.0628305652302789,5.819215843437712,-0.6503634023744878,0.30001523883796644,-0.15382170758983899,-0.34524409343203705
64131001,37.73333333333333,0.2666666666666666,69.22630050791453,0.6747710600389617,0.1589130429706348,0.0695605248673922,4.873349251830013,0.028332293059587888,0.438311697548296,0.14497826510721568,0.09135896990571017
64131501,53.63333333333333,0.6333333333333333,82.57000843807681,0.5129049658116668,0.0895003117278974,0.1953032879386791,19.06131338418154,-0.20726375695840632,-0.71288281091037,-0.03981016713004082,0.3635930173112912
64134301,43.9,0.3666666666666666,71.34500171234774,0.5729842210302514,0.0337819831369494,0.0348643120385555,7.98171793546716,0.09092462117610108,0.8597276331657436,0.5545197617861282,0.6061782680077756
64134801,33.166666666666664,0.2333333333333333,45.0009577399974,0.8508532876381479,0.0279057279700731,0.01,6.880821016129677,-1.14778316229913,0.2965083419132255,-0.32847668251894785,-0.3424160706442936
64135001,30.566666666666663,0.2666666666666666,52.11857361763047,1.0458172706807831,0.1588134749334251,0.0503394530843154,7.053147142823898,0.5886204599542849,-1.224318408258047,-0.4385289902300318,0.20590759049871282
64136701,38.73333333333333,0.4333333333333333,60.23163260628869,0.9193975440044868,0.1195862663213384,0.0502465590016598,12.545237078233868,-1.0545437638537858,-0.6339574573904826,-0.6026406933293579,0.010590410164082319
64136801,30.5,0.2666666666666666,64.19109984600364,0.7310952619292356,0.2054452053624963,0.0590837288997594,8.494368710404615,-0.576079558157591,-0.762324653123882,-0.39979504831505436,-0.6923736302163255
64137401,27.4,0.2,41.904395442536114,0.3677112377013264,0.1905650998281126,0.0664511042690458,3.017707626629566,-0.9780854267185747,0.06019725998166139,-0.09817133027540317,0.2783580633235257
64138101,20.03333333333333,0.1666666666666666,3.413154365645457,1.5531512133342813,0.3587506748270505,0.042542049978369,4.225150020544613,-0.11648853753499525,-0.20151978548072663,0.4455231953110373,0.11138070783514742
64138301,17.866666666666667,0.1333333333333333,27.92355551533068,0.7308806558535819,0.0614842028054873,0.0125217554956327,1.5278016585641423,0.06849107233394151,0.9106011706549756,-0.27152210207341326,-0.02718009369339329
64139201,36.03333333333333,0.4,52.68250762500977,1.048145395486748,0.230714461236977,0.1237872978609852,14.624388939594196,0.38192030571701807,0.6472410874330565,0.38643730263816944,0.16095058625237066
64139301,27.23333333333333,0.2,3.4507908357509423,0.9038862047471448,0.5,0.0798511047413967,10.881841912450277,-0.1701781345830851,-0.846673915691807,0.24109601854347745,-0.23227815463922316
64139401,40.23333333333333,0.3666666666666666,97.57849842580332,0.3468854229122117,0.1450183774782054,0.0996471926791689,8.350247966775571,0.45122398260834296,0.3077325955144985,0.4886508910219493,0.41642871923014735
64141301,27.766666666666666,0.2333333333333333,37.261340442956914,0.7556032536956676,0.0903653568848502,0.0363197900066237,8.149975713828136,-0.11474874507931794,-0.6579213430598303,-0.4649882992353587,0.16840857057441333
64141701,39.53333333333333,0.3666666666666666,69.35738503159864,0.603557045446326,0.1155239686384813,0.0730820258130797,9.969212160499742,0.34040256564111954,-0.014307499523500095,-0.14235476722230833,0.24496133766716327
64142601,37.96666666666667,0.3,73.66625799886273,0.5029001571173544,0.2014500812672878,0.0997662389148832,6.532163481520687,0.5295710481103603,0.593736568799357,0.026783433161643458,0.09373024197587711
64143401,43.56666666666667,0.4333333333333333,47.07689162705321,0.2834856471376021,0.2306859272460504,0.1602104062149634,9.487683783256262,-0.29012883295001485,0.5864052671229782,0.5653110823097842,0.2820978536400551
64144101,37.4,0.2666666666666666,57.71598355249848,0.6813332558791186,0.0860976622426683,0.0428081601587099,4.840314729230193,-0.43614126698696154,-0.5707802053826371,-1.2661231059145452,0.06838180440313231
64144501,20.8,0.1,80.00843177017789,0.1783723529151392,0.3575878592353563,0.0477618191712182,8.760608233783028,0.26678686851360783,-0.11434766032254788,0.26683059802129894,-0.2388664220346478
64144601,38.766666666666666,0.3666666666666666,100.64388537587264,0.3806386668762382,0.0790444877330007,0.0518661838790985,10.297843172098556,0.6270019509027764,1.1910046529420324,0.9214771098997575,-0.15131156019325573
64146301,33.53333333333333,0.3333333333333333,67.97066247803626,0.8318227885755223,0.112528285866231,0.046181749313212,7.587289191873926,-0.5577072597592416,-0.29589347001735067,-0.17746256122404003,0.19982810676546559
64146901,34.8,0.3333333333333333,52.02735938143325,0.2386528700478845,0.1872656297931324,0.1431521946676912,13.185259971988916,0.7098569672420076,-0.6741167522710174,0.638646857464577,0.20668479515065788
64148301,34.0,0.3666666666666666,58.62904766466836,0.9861814743319643,0.1125750992222427,0.055769313549972,11.37221451580878,-0.5432139933926484,-0.1544904106557302,-0.7062546310845178,0.11329419955174504
64148601,28.133333333333333,0.2333333333333333,34.99999999661254,1.0220536904974462,0.2441054732628883,0.0808450575986963,5.292691679482187,-0.9536902209757144,-0.13988826756638204,-0.38972845731890376,-1.222831254128605
64148801,34.833333333333336,0.2666666666666666,71.0619191087461,0.4328261607501399,0.1205212169113971,0.0478395557328444,8.139184964378126,-0.40843671502384354,-0.8078642304801662,0.4437918342311697,0.18360184818892472
64149401,22.266666666666666,0.1666666666666666,58.39009681529534,0.39769691436358,0.1085722955942004,0.023788125130948,4.3420563737847,-0.2919153110204147,0.8374758166091592,-0.5927552847150837,0.09867604349532187
64149901,18.1,0.1333333333333333,21.84732012831479,0.9415259559204252,0.0669074432774633,0.0114904290456015,1.228613422636771,-0.44911989699415733,-0.23161589848868047,0.11769350693140311,-0.4384396368671123
64150101,30.066666666666663,0.2666666666666666,56.93772792930076,0.4642096993208175,0.1668040707245422,0.0711517782653883,7.724082194445796,-0.2277746753219793,0.616823443781304,-1.0361425320510405,-0.21273062583673377
64150401,43.7,0.4666666666666667,48.11256902088239,0.9793120971419256,0.0418551904005111,0.0212606376922143,11.28009829010962,-0.32828528027509946,-0.799941059608072,0.21399244274954138,-0.8529516333838534
64151401,45.93333333333333,0.4333333333333333,44.02272097253812,1.3025764973419516,0.1787198792285511,0.0879766570439822,7.391781650649258,-0.23961894558070287,0.5425218282176772,0.46169714455462435,0.28464260092027555
64152701,39.3,0.2666666666666666,84.34881908467777,0.5449428352327425,0.070899172932357,0.0277752226844212,4.7421490307318335,0.7036192937550836,-0.2926536430906697,0.758946938553688,0.7857999316251727
64153601,46.56666666666667,0.4666666666666667,48.00738022496613,1.0365885462380675,0.0387664838794018,0.0166841893635497,5.538492921102715,-0.35198376813790627,0.441259975757924,-1.1479167506690549,-0.005703899937316289
64153801,14.033333333333331,0.1333333333333333,20.00000000333281,1.4126958485123462,0.2646693713015345,0.01,4.262540767950815,-1.0358216896478238,-0.34952470289913234,-0.7048542817131378,-0.3647535044287603
64154201,39.266666666666666,0.4,67.25523479906278,0.7782730134091147,0.0520591682149599,0.0319580086999381,3.382941434490611,-0.3876280467626905,0.602539871910285,0.191570756104844,-0.253261773706051
64154401,39.06666666666667,0.3,72.46295607382793,0.5925571083132017,0.0351075157812358,0.0237290912824366,7.299738375704856,-0.7737072062024721,0.9800168387830045,-0.6647084671268622,-0.15189221844227335
64154501,27.966666666666665,0.2333333333333333,37.86679595866752,0.9446808159911952,0.0579558602726612,0.012194048720079,3.1398743568259246,0.167739571650314,-0.32884521322918653,0.0172112796274908,0.35983143653098343
64154901,25.53333333333333,0.1666666666666666,10.797817015675566,1.1113414587144343,0.311942857125716,0.0233382278121507,3.200899958249275,-1.401935117550084,-0.06225093439092357,0.3097771113503345,-1.6206480792288716
64155101,15.1,0.1,16.48174066019829,0.4702082911967112,0.1797493084771464,0.0473367570369618,2.7096451713882845,-0.05664632160213092,-0.6687997707307017,-0.10724073989212901,-0.33287374056418145
